no smoothing
claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397
150448
214861,History_of_art
156709
129629,Homeland_-LRB-TV_series-RRB-
33078,Red_Auerbach,List_of_Boston_Celtics_head_coaches,Boston_Celtics
6744,Fredric_M._Frank,The_Ten_Commandments_-LRB-1923_film-RRB-,The_King_of_Kings_-LRB-1927_film-RRB-,Katherine_Orrison,The_Nth_Commandment
226034
40190,Cyndi_Lauper
76253,Josh_Hutcherson,Carl_Brutananadilewski,Laurie_Spiegel,Master_Shake,The_Hunger_Games
laplace smoothing
claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,Nationwide_Communications,Fox_Broadcasting_Company,"Joshua_Fry_Bullitt,_Jr.",Communications_Corporation_of_America,List_of_early_British_private_locomotive_manufacturers
150448,Roman_technology,Socii,Editorial_calendar,List_of_video_game_crowdfunding_projects,History_of_Rome_-LRB-disambiguation-RRB-
214861,The_Nritarutya_Dance_Collective,List_of_artists_in_the_Philadelphia_Museum_of_Art_handbook_of_the_collections,List_of_New_Music_America_performances,List_of_Guggenheim_Fellowships_awarded_in_1968,Acropolis_Institute_of_Technology_and_Research
156709,MTV_New_Year's,Tour_accountant,Adrienne_Bailon,Professional_accounting_body,Certified_Accountant
129629,Ned_-LRB-given_name-RRB-,List_of_books_by_Jacob_Neusner,List_of_fictional_anthropologists,List_of_fictional_nurses,Homeland_-LRB-TV_series-RRB-
33078,1994–95_Boston_Celtics_season,Boston_Celtics,List_of_Nintendo_DS_games,Sports_in_Boston,TD_Garden
6744,Allison_McGourty,Ten_Nights_in_a_Barroom,The_Ten_Commandments_-LRB-1956_film-RRB-,Reds_-LRB-film-RRB-,Cecil_B._DeMille
226034,Eminem_discography,Tetris,Jolin_Tsai_discography,Sechs_Kies_discography,Snoop_Dogg_discography
40190,List_of_awards_and_nominations_received_by_Bruno_Mars,Lo_Nuestro_Award_for_Pop_New_Artist_of_the_Year,Cyndi_Lauper,List_of_awards_and_nominations_received_by_Katy_Perry,List_of_awards_and_nominations_received_by_Madonna
76253,The_Hunger_Games_-LRB-film-RRB-,List_of_PlayStation_3_games_released_on_disc,The_Hunger_Games,List_of_accolades_received_by_The_Hunger_Games_film_series,List_of_video_game_crowdfunding_projects
jelinek smoothing
claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,A_Thousand_Times_Good_Night,Ved_verdens_ende,The_Other_Woman_-LRB-2014_film-RRB-,New_Amsterdam_-LRB-TV_series-RRB-,Nikolaj_Coster-Waldau
150448,Mary_Walsh-COLON-_Open_Book,Bedside_Press,Joel_Spolsky,Brett_Atwood,Quetzal_-LRB-disambiguation-RRB-
214861,CUAAD,Sky_Arts_-LRB-New_Zealand-RRB-,History_of_art,Fine_art,The_arts
156709,I'm_in_Love_with_a_Church_Girl,Julissa_Bermudez,All_You've_Got,Adrienne_Bailon,Empire_Girls-COLON-_Julissa_and_Adrienne
129629,Homeland_-LRB-season_2-RRB-,Homeland_-LRB-season_3-RRB-,List_of_Homeland_episodes,Homeland_-LRB-season_6-RRB-,Homeland_-LRB-TV_series-RRB-
33078,Boston_Celtics,List_of_Boston_Celtics_head_coaches,1974–75_Boston_Celtics_season,Boston_Garden,TD_Garden
6744,Fredric_M._Frank,The_King_of_Kings_-LRB-1927_film-RRB-,Katherine_Orrison,The_Ten_Commandments_-LRB-1923_film-RRB-,The_Nth_Commandment
226034,Corum_II-COLON-_Dark_Lord,Familiar_to_Millions,Peggy_Anderson,Io_vagabondo,Tetris
40190,Summertime-COLON-_Willie_Nelson_Sings_Gershwin,List_of_awards_and_nominations_for_the_musical_Kinky_Boots,List_of_Billboard_200_number-one_albums_of_1985,She's_So_Unusual,Cyndi_Lauper
76253,List_of_accolades_received_by_The_Hunger_Games_film_series,Jayme_Dee,The_Hunger_Games,The_Hunger_Games-COLON-_Catching_Fire_–_Original_Motion_Picture_Soundtrack,MTV_Movie_Award_for_Best_On-Screen_Transformation
dirichlet smoothing
claim id,doc id_1,doc id_2,doc id_3,doc id_4,doc id_5
75397,A_Thousand_Times_Good_Night,The_Other_Woman_-LRB-2014_film-RRB-,New_Amsterdam_-LRB-TV_series-RRB-,Ved_verdens_ende,Nikolaj_Coster-Waldau
150448,Mary_Walsh-COLON-_Open_Book,Quetzal_-LRB-disambiguation-RRB-,Bedside_Press,Brett_Atwood,Joel_Spolsky
214861,Art,Fine_art,The_arts,History_of_art,Narrative
156709,I'm_in_Love_with_a_Church_Girl,Julissa_Bermudez,Empire_Girls-COLON-_Julissa_and_Adrienne,Adrienne_Bailon,All_You've_Got
129629,Homeland_-LRB-season_2-RRB-,Homeland_-LRB-season_6-RRB-,Homeland_-LRB-season_3-RRB-,List_of_Homeland_episodes,Homeland_-LRB-TV_series-RRB-
33078,1974–75_Boston_Celtics_season,Boston_Garden,TD_Garden,Boston_Celtics,List_of_Boston_Celtics_head_coaches
6744,The_King_of_Kings_-LRB-1927_film-RRB-,The_Nth_Commandment,The_Ten_Commandments_-LRB-1923_film-RRB-,The_Ten_Commandments_-LRB-1956_film-RRB-,Katherine_Orrison
226034,Io_vagabondo,Familiar_to_Millions,List_of_best-selling_Game_Boy_video_games,Sechs_Kies_discography,Tetris
40190,Summertime-COLON-_Willie_Nelson_Sings_Gershwin,List_of_Billboard_200_number-one_albums_of_1985,List_of_awards_and_nominations_for_the_musical_Kinky_Boots,She's_So_Unusual,Cyndi_Lauper
76253,Laurie_Spiegel,MTV_Movie_Award_for_Best_On-Screen_Transformation,Master_Shake,The_Hunger_Games-COLON-_Catching_Fire_–_Original_Motion_Picture_Soundtrack,The_Hunger_Games
